"Kd-Nr";"Buch-Nr";"Ausleihdatum";"Verlängerung";"Rueckgabe erfolgt"
1;1;24.1.2017;"1";1
1;1;24.1.2019;"1";1
1;1;27.2.2019;"1";1
1;1;28.2.2020;"1";1
1;2;29.7.2018;"1";1
1;2;26.8.2018;"1";1
1;2;22.7.2020;"1";1
1;2;24.6.2020;"1";1
1;23;28.10.2019;"1";1
1;23;2.12.2018;"1";1
1;24;28.10.2019;"1";1
1;24;2.12.2018;"1";1
2;4;11.10.2019;"1";1
2;4;15.11.2018;"1";0
2;5;4.12.2018;"1";0
2;8;3.1.2018;"1";1
2;8;3.1.2019;"1";1
2;8;29.11.2020;"1";1
2;8;30.11.2020;"1";1
3;3;11.1.2018;"1";1
3;3;7.12.2018;"1";1
3;3;11.1.2019;"1";1
3;3;8.12.2020;"1";1
3;4;11.1.2018;"1";1
3;4;7.12.2017;"1";1
3;4;8.12.2018;"1";1
3;4;11.1.2020;"1";1
4;7;4.12.2018;"1";0
5;7;11.1.2018;"1";1
5;7;7.12.2016;"1";1
5;7;11.1.2020;"1";1
5;7;8.12.2020;"1";1
6;3;11.1.2018;"1";1
6;3;7.12.2015;"1";1
6;3;11.1.2020;"1";1
6;3;8.12.2020;"1";1
6;7;12.10.2019;"1";1
6;7;16.11.2018;"1";0
6;10;11.1.2018;"1";1
6;10;7.12.2017;"1";1
6;10;8.12.2018;"1";1
6;10;11.1.2019;"1";1
6;11;2.8.2018;"1";0
6;11;28.6.2020;"1";1
7;7;26.8.2018;"1";1
7;7;22.7.2020;"1";1
7;9;23.5.2018;"1";1
7;9;22.8.2018;"2";1
7;9;18.7.2020;"1";1
7;9;18.4.2014;"1";1
7;10;23.5.2018;"1";1
7;10;18.4.2016;"1";1
7;17;2.6.2018;"1";1
7;17;28.4.2015;"1";1
8;1;2.6.2018;"1";1
8;1;28.4.2016;"1";1
8;5;18.10.2019;"1";1
8;8;11.1.2018;"1";1
8;8;2.8.2018;"1";1
8;8;4.12.2018;"1";0
8;8;28.6.2020;"1";1
8;8;7.12.2016;"1";1
8;8;8.12.2019;"1";1
8;12;7.12.2016;"1";1
8;12;11.1.2018;"1";1
8;12;8.12.2020;"1";1
10;2;28.10.2019;"2";1
10;2;2.12.2018;"1";0
10;9;28.10.2019;"1";1
10;9;2.12.2018;"1";0
13;14;28.10.2019;"1";1
13;14;2.12.2018;"1";0
15;2;23.7.2018;"1";1
15;2;18.6.2019;"1";1
15;3;13.7.2018;"1";0
15;3;8.6.2017;"1";1
15;13;11.1.2018;"1";1
15;13;11.1.2019;"1";1
15;13;7.12.2020;"1";1
15;13;8.12.2020;"1";1
17;1;10.2.2018;"1";1
17;1;6.1.2018;"1";1
17;7;13.5.2018;"1";1
17;7;8.4.2014;"1";1
17;10;28.10.2019;"1";1
17;10;3.4.2018;"1";1
17;10;2.7.2018;"1";1
17;10;2.12.2018;"1";0
17;10;28.5.2016;"1";1
17;10;27.2.2019;"1";1
17;11;28.10.2019;"3";1
17;11;3.4.2018;"1";1
17;11;12.4.2018;"1";1
17;11;2.12.2018;"1";0
17;11;27.2.2020;"1";1
17;11;8.3.2020;"1";1
17;16;28.9.2019;"1";1
17;16;2.11.2018;"2";0
17;17;18.10.2019;"2";1
17;17;22.11.2018;"1";0
17;22;28.10.2019;"1";1
17;22;2.12.2018;"1";0
18;3;12.8.2018;"1";1
18;3;8.7.2020;"1";1
18;11;12.6.2018;"1";1
18;11;8.5.2015;"1";1
18;12;13.7.2018;"1";1
18;12;8.6.2018;"1";1
18;13;11.1.2018;"1";1
18;13;7.12.2020;"1";1
18;16;11.2.2018;"1";1
18;16;10.8.2018;"3";0
18;16;6.7.2020;"1";1
18;16;7.1.2017;"1";1
18;18;20.10.2019;"1";1
18;18;24.11.2018;"1";0
20;1;19.10.2019;"2";1
20;1;23.11.2018;"1";0
20;10;18.7.2020;"1";1
20;13;22.8.2018;"3";0
21;26;18.10.2019;"1";1
21;26;22.11.2018;"1";0
22;10;18.9.2020;"1";1
22;12;23.10.2018;"2";0
23;31;4.12.2018;"1";0
24;32;4.12.2018;"1";0
